temp,dim_x,dim_y,energy,energy_var,c,vortex_density,rhat,n_eff
0.1,24,24,1.9493716725842596,8.792515361769866e-06,0.5064488848379437,0.0,1.0014035124085188,1504.2321363093104
0.2,24,24,1.8972632320746425,3.391736856074151e-05,0.48841010727467804,0.0,1.0009122781188464,1442.506547830102
0.30000000000000004,24,24,1.8438101851003623,8.812784733448867e-05,0.5640182229407273,0.0,1.0026373124268992,1654.3096929529722
0.4,24,24,1.7882447011019962,0.00016072941617561846,0.5786258982322264,0.0,1.001803762964688,1352.0425589044662
0.5,24,24,1.7296021140049906,0.0002761826199171082,0.6363247562890173,1.736111111111111e-05,0.9997321014321067,1513.449012201155
0.6000000000000001,24,24,1.6687170620331249,0.00037385820586624205,0.5981731293859872,0.0001388888888888889,1.001307421940721,1211.1236236407549
0.7000000000000001,24,24,1.6032493472012366,0.0006096565284785583,0.7166574702115299,0.0003125,1.0017420499632421,1205.5817472140036
0.8,24,24,1.529679111968562,0.0008592570688050495,0.7733313619245444,0.001736111111111111,1.0019926414482194,921.060182935152
0.9,24,24,1.439406916869337,0.001291541707508353,0.9184296586726065,0.004826388888888889,1.0059136689081336,513.4239091474803
1.0,24,24,1.3323260639355334,0.002000218238924821,1.1521257056206968,0.010677083333333334,1.016336607266587,396.24961320921574
1.1,24,24,1.1866761265226222,0.0030511065792131887,1.4524275947328897,0.022760416666666665,1.0113599753513953,237.3505685123181
1.2000000000000002,24,24,1.0522172888772172,0.0030420706341411164,1.2168282536564463,0.03696180555555555,1.001531627702597,333.9329441869703
1.3,24,24,0.9391525519327427,0.002757654811200499,0.9398870835807617,0.04996527777777778,1.0056950420829343,558.8927711161643
1.4000000000000001,24,24,0.8539806791179415,0.002674905435645278,0.7860946586386122,0.05961805555555556,1.0067353896979359,852.6890562848267
1.5,24,24,0.7788059679730301,0.0026628494237712296,0.6816894524854349,0.06881944444444445,1.0033232362903661,846.0424383760555
