temp,dim_x,dim_y,energy,energy_var,c
0.1,24,24,1.9494585534618967,9.396299296139616e-06,0.5412268394576428
0.2,24,24,1.8975506962231812,3.542886603114873e-05,0.5101756708485417
0.30000000000000004,24,24,1.8444496977958085,8.094234793266033e-05,0.5180310267690259
0.4,24,24,1.7869870717133503,0.00015171163906273604,0.5461619006258492
0.5,24,24,1.7297411487833065,0.00026201311264097593,0.6036782115248086
0.525,24,24,1.7149605704608586,0.00031147330718890267,0.6509156460437474
0.55,24,24,1.7004293909568162,0.00030484750252296667,0.5804699552172848
0.575,24,24,1.683423174750826,0.00034512386470851727,0.6012592697833069
0.6,24,24,1.6682542102664382,0.0003878019674295594,0.6204831478872953
0.625,24,24,1.6513351785254442,0.00040778803211692524,0.6013079206383333
0.65,24,24,1.635192998639119,0.0005309588612295986,0.723863441581654
0.675,24,24,1.6195337060730293,0.000508146306105483,0.6423973054963142
0.7,24,24,1.6039339497111398,0.0005869743834218895,0.6899943772469558
0.725,24,24,1.5843938917543687,0.0006368927124621743,0.6979314195067061
0.75,24,24,1.5656705502351078,0.0007329038351280308,0.7504935271711033
0.775,24,24,1.5471790319605312,0.0008289529403160198,0.7949667323571737
0.8,24,24,1.5260013866470603,0.0009310702842987776,0.8379632558688996
0.825,24,24,1.5068557792842376,0.0010019420138711827,0.8479244811604058
0.8500000000000001,24,24,1.4881060886243738,0.0010723100094032778,0.8548796753166613
0.875,24,24,1.4633577639773543,0.001188631745574982,0.8942391973240029
0.9,24,24,1.4394492732213646,0.0012582312208597232,0.8947422015002476
0.925,24,24,1.4187361275500483,0.0015229442205736878,1.0252340348288609
0.95,24,24,1.3897719158399697,0.0016384524455329333,1.0457048295035674
0.9750000000000001,24,24,1.3641407696457,0.0017131760704745703,1.038042778796426
1.0,24,24,1.332282973513223,0.002056602369474323,1.1846029648172098
1.025,24,24,1.3044469465451318,0.0020284027878579745,1.112061873462171
1.05,24,24,1.2601512250984923,0.002671206988070861,1.395569365196205
1.0750000000000002,24,24,1.2196308834302656,0.0027857323912617604,1.3884970101605392
1.1,24,24,1.1971024342737138,0.002777654273926193,1.3222552576706503
1.125,24,24,1.1558802078046555,0.003099743211658306,1.4107275772169356
1.15,24,24,1.114646056641853,0.0027637752560261126,1.203731226821203
1.175,24,24,1.0746708755142307,0.003044999554259269,1.2703809819852159
1.2000000000000002,24,24,1.0480018729945475,0.0029895519758260055,1.195820790330402
1.225,24,24,1.011574100830815,0.0029515832757048602,1.1329359212368175
1.25,24,24,0.9865801671369984,0.003002204938347726,1.1067328284725058
1.275,24,24,0.9603094374655304,0.002742680995816408,0.9718011556110735
1.3,24,24,0.9410079965711715,0.002638713243072198,0.8993484189405836
1.3250000000000002,24,24,0.9136122876927435,0.0028198270795533444,0.9251522379908728
1.35,24,24,0.8907137913930233,0.002317417575458427,0.7324183942189597
1.375,24,24,0.8749628149450016,0.002961007875504427,0.902104085310704
1.4,24,24,0.8562858452580417,0.0025709814807603902,0.7555537412846861
1.425,24,24,0.8299809898579247,0.0024831687642648415,0.7043669846557333
1.4500000000000002,24,24,0.8119477699697254,0.002638289449511141,0.7227846482370592
1.475,24,24,0.7959940066042855,0.002623083763034633,0.6944653823650437
1.5,24,24,0.7822056176486474,0.0026208718285794445,0.6709431881163378
1.6,24,24,0.7194582856728032,0.002453544185642321,0.5520474417695221
1.7,24,24,0.6655033918774009,0.002348790243063304,0.4681325882368385
1.8,24,24,0.6235093279882524,0.00230661313364566,0.41006455709256173
1.9,24,24,0.5790651048708855,0.0022485722241478443,0.3587749587559996
2.0,24,24,0.5499562579674415,0.0021524332688697663,0.30995039071724634
